ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length
1,Location 1 - Location 1,1,1,1,0.000000000000000
2,Location 1 - Location 50,1,50,2,719.294158116538030
3,Location 1 - Location 38,1,38,3,1211.990838981653000
4,Location 1 - Location 33,1,33,4,1279.324536900752300
5,Location 1 - Location 28,1,28,5,1704.110405056032100
6,Location 1 - Location 5,1,5,6,1785.941816692595700
7,Location 1 - Location 47,1,47,7,1851.393069589494200
8,Location 1 - Location 24,1,24,8,1955.355411939263800
9,Location 1 - Location 36,1,36,9,2997.589846199553000
10,Location 1 - Location 7,1,7,10,3032.207685410922300
11,Location 1 - Location 26,1,26,11,3085.285837236242100
12,Location 1 - Location 39,1,39,12,3157.420536389798600
13,Location 1 - Location 40,1,40,13,3172.639512873033300
14,Location 1 - Location 29,1,29,14,3277.143224458523500
15,Location 1 - Location 34,1,34,15,3534.462200765442000
16,Location 1 - Location 51,1,51,16,4036.843705680134900
17,Location 1 - Location 17,1,17,17,4114.855951347134600
18,Location 1 - Location 23,1,23,18,4223.139850572897600
19,Location 1 - Location 2,1,2,19,4917.182863759737300
20,Location 1 - Location 35,1,35,20,5170.901026536126700
21,Location 1 - Location 48,1,48,21,5287.629153014428100
22,Location 1 - Location 11,1,11,22,5355.499933803969700
23,Location 1 - Location 44,1,44,23,6091.463924256801000
24,Location 1 - Location 10,1,10,24,6562.378798568010100
25,Location 1 - Location 3,1,3,25,7715.433999126207700
26,Location 1 - Location 9,1,9,26,8065.932993048675600
27,Location 1 - Location 18,1,18,27,8613.077495948071400
28,Location 1 - Location 15,1,15,28,9337.348120600461700
29,Location 1 - Location 16,1,16,29,10988.719191562910000
30,Location 1 - Location 12,1,12,30,12481.051409186492000
31,Location 1 - Location 45,1,45,31,12587.081292873243000
32,Location 1 - Location 46,1,46,32,13368.293033769145000
33,Location 1 - Location 42,1,42,33,15249.465658518768000
34,Location 1 - Location 41,1,41,34,16446.802943018665000
35,Location 1 - Location 49,1,49,35,16656.952437432858000
36,Location 1 - Location 13,1,13,36,16943.306481178312000
37,Location 1 - Location 14,1,14,37,17360.281464176507000
38,Location 1 - Location 37,1,37,38,17532.445498271456000
39,Location 1 - Location 43,1,43,39,18849.180459742409000
40,Location 1 - Location 8,1,8,40,20327.496577755483000
41,Location 1 - Location 4,1,4,41,21754.535715324622000
42,Location 1 - Location 6,1,6,42,22551.013056779124000
43,Location 1 - Location 21,1,21,43,22851.022458168365000
44,Location 1 - Location 25,1,25,44,23117.110370439445000
45,Location 1 - Location 22,1,22,45,23243.133605488227000
46,Location 1 - Location 20,1,20,46,23582.713511403112000
47,Location 1 - Location 31,1,31,47,23730.968347652371000
48,Location 1 - Location 19,1,19,48,25538.548701678184000
49,Location 1 - Location 27,1,27,49,27402.505760396445000
50,Location 1 - Location 32,1,32,50,30734.498502667651000
51,Location 1 - Location 30,1,30,51,30871.889996465121000
52,Location 2 - Location 2,2,2,1,0.000000000000000
53,Location 2 - Location 10,2,10,2,1831.791907960846900
54,Location 2 - Location 9,2,9,3,3662.188663465532000
55,Location 2 - Location 17,2,17,4,3935.679541117048300
56,Location 2 - Location 50,2,50,5,4197.888705643199500
57,Location 2 - Location 38,2,38,6,4312.355690203452500
58,Location 2 - Location 11,2,11,7,4598.415743457282600
59,Location 2 - Location 26,2,26,8,4680.141025630306100
60,Location 2 - Location 1,2,1,9,4917.182863759738200
61,Location 2 - Location 35,2,35,10,5092.958424088829800
62,Location 2 - Location 3,2,3,11,5183.871919165789200
63,Location 2 - Location 23,2,23,12,5674.624620574629300
64,Location 2 - Location 33,2,33,13,5695.876996877648700
65,Location 2 - Location 24,2,24,14,5757.657750044464600
66,Location 2 - Location 15,2,15,15,6191.683027798842900
67,Location 2 - Location 5,2,5,16,6202.771694876509200
68,Location 2 - Location 28,2,28,17,6290.623721794841900
69,Location 2 - Location 47,2,47,18,6551.323808542071700
70,Location 2 - Location 18,2,18,19,6552.221679764843400
71,Location 2 - Location 36,2,36,20,7584.103162938363300
72,Location 2 - Location 7,2,7,21,7618.721002149732200
73,Location 2 - Location 48,2,48,22,7675.766257912721800
74,Location 2 - Location 12,2,12,23,7716.499990427058900
75,Location 2 - Location 40,2,40,24,7759.152829611841300
76,Location 2 - Location 45,2,45,25,7822.529874113808500
77,Location 2 - Location 16,2,16,26,7843.054098761291200
78,Location 2 - Location 39,2,39,27,7857.351275342376500
79,Location 2 - Location 29,2,29,28,7863.656541197333400
80,Location 2 - Location 34,2,34,29,8120.975517504252800
81,Location 2 - Location 44,2,44,30,8479.601029155093800
82,Location 2 - Location 51,2,51,31,8623.357022418944300
83,Location 2 - Location 46,2,46,32,8689.297381103120600
84,Location 2 - Location 41,2,41,33,11682.251524259231000
85,Location 2 - Location 49,2,49,34,11892.401018673423000
86,Location 2 - Location 14,2,14,35,12888.159827290428000
87,Location 2 - Location 37,2,37,36,13060.323861385377000
88,Location 2 - Location 42,2,42,37,13080.800842009156000
89,Location 2 - Location 13,2,13,38,13125.998917393910000
90,Location 2 - Location 43,2,43,39,14377.058822856330000
91,Location 2 - Location 8,2,8,40,15855.374940869402000
92,Location 2 - Location 4,2,4,41,17579.812523968332000
93,Location 2 - Location 6,2,6,42,18374.267230756344000
94,Location 2 - Location 21,2,21,43,18674.276632145586000
95,Location 2 - Location 20,2,20,44,19110.591874517035000
96,Location 2 - Location 31,2,31,45,19258.846710766298000
97,Location 2 - Location 25,2,25,46,19528.433513747401000
98,Location 2 - Location 22,2,22,47,19729.234375577176000
99,Location 2 - Location 19,2,19,48,22182.764327142497000
100,Location 2 - Location 27,2,27,49,22930.384123510368000
101,Location 2 - Location 32,2,32,50,26262.376865781578000
102,Location 2 - Location 30,2,30,51,26399.768359579048000
103,Location 3 - Location 3,3,3,1,0.000000000000000
104,Location 3 - Location 18,3,18,2,1811.689728382935500
105,Location 3 - Location 15,3,15,3,1911.814122201885100
106,Location 3 - Location 11,3,11,4,2383.892380632516100
107,Location 3 - Location 35,3,35,5,2817.962905180741000
108,Location 3 - Location 23,3,23,6,3719.818467639517600
109,Location 3 - Location 17,3,17,7,3776.805862684143000
110,Location 3 - Location 16,3,16,8,3799.553636647212400
111,Location 3 - Location 26,3,26,9,4876.845702527107300
112,Location 3 - Location 9,3,9,10,5098.988940534878600
113,Location 3 - Location 2,3,2,11,5183.871919165788300
114,Location 3 - Location 36,3,36,12,6006.903957742783900
115,Location 3 - Location 34,3,34,13,6063.494998357861700
116,Location 3 - Location 5,3,5,14,6197.152464313718200
117,Location 3 - Location 10,3,10,15,6290.412390322837400
118,Location 3 - Location 38,3,38,16,6505.016909797419400
119,Location 3 - Location 33,3,33,17,6661.258702620804800
120,Location 3 - Location 28,3,28,18,6682.068491643932200
121,Location 3 - Location 7,3,7,19,6775.689391291769400
122,Location 3 - Location 51,3,51,20,6848.877734537900300
123,Location 3 - Location 50,3,50,21,7061.073700481583700
124,Location 3 - Location 29,3,29,22,7086.744798886344100
125,Location 3 - Location 40,3,40,23,7432.217027913692600
126,Location 3 - Location 1,3,1,24,7715.433999126205900
127,Location 3 - Location 47,3,47,25,7844.238810943946200
128,Location 3 - Location 39,3,39,26,8478.323678563650900
129,Location 3 - Location 24,3,24,27,8620.842744882849700
130,Location 3 - Location 13,3,13,28,11083.747595661447000
131,Location 3 - Location 48,3,48,29,11290.255446976656000
132,Location 3 - Location 44,3,44,30,12094.090218219028000
133,Location 3 - Location 12,3,12,31,12563.899500540343000
134,Location 3 - Location 45,3,45,32,12669.929384227094000
135,Location 3 - Location 14,3,14,33,13007.527188685284000
136,Location 3 - Location 46,3,46,34,13536.696891216405000
137,Location 3 - Location 37,3,37,35,13986.685682726344000
138,Location 3 - Location 4,3,4,36,14631.319965809869000
139,Location 3 - Location 43,3,43,37,15231.107440031745000
140,Location 3 - Location 21,3,21,38,15685.594206110853000
141,Location 3 - Location 8,3,8,39,15719.513525335495000
142,Location 3 - Location 25,3,25,40,15927.944815523744000
143,Location 3 - Location 22,3,22,41,16053.968050572523000
144,Location 3 - Location 6,3,6,42,16357.817795023200000
145,Location 3 - Location 41,3,41,43,16529.651034372517000
146,Location 3 - Location 49,3,49,44,16739.800528786709000
147,Location 3 - Location 42,3,42,45,17928.200352122440000
148,Location 3 - Location 19,3,19,46,18349.383146762477000
149,Location 3 - Location 20,3,20,47,19028.333915329549000
150,Location 3 - Location 31,3,31,48,19378.214072161154000
151,Location 3 - Location 27,3,27,49,22848.126164322886000
152,Location 3 - Location 32,3,32,50,26381.744227176434000
153,Location 3 - Location 30,3,30,51,26519.135720973904000
154,Location 4 - Location 4,4,4,1,0.000000000000000
155,Location 4 - Location 21,4,21,2,1141.818364295540300
156,Location 4 - Location 6,4,6,3,1764.233984709949000
157,Location 4 - Location 25,4,25,4,1948.620989779066600
158,Location 4 - Location 22,4,22,5,2187.496198448619000
159,Location 4 - Location 8,4,8,6,2937.555599041664200
160,Location 4 - Location 14,4,14,7,4822.669473529013000
161,Location 4 - Location 19,4,19,8,4932.496650294740000
162,Location 4 - Location 13,4,13,9,5431.861034832733800
163,Location 4 - Location 20,4,20,10,5632.355857663900700
164,Location 4 - Location 31,4,31,11,6387.475031141265400
165,Location 4 - Location 37,4,37,12,7158.888300883360900
166,Location 4 - Location 43,4,43,13,8047.670568723453500
167,Location 4 - Location 27,4,27,14,9452.148106657230500
168,Location 4 - Location 16,4,16,15,11127.492221331095000
169,Location 4 - Location 15,4,15,16,12719.505843607985000
170,Location 4 - Location 32,4,32,17,13082.465530134035000
171,Location 4 - Location 30,4,30,18,13515.471417963454000
172,Location 4 - Location 3,4,3,19,14631.319965809869000
173,Location 4 - Location 9,4,9,20,14708.343326133263000
174,Location 4 - Location 10,4,10,21,15966.578010828085000
175,Location 4 - Location 18,4,18,22,15975.663356246241000
176,Location 4 - Location 11,4,11,23,16488.943902231877000
177,Location 4 - Location 35,4,35,24,17156.483587555860000
178,Location 4 - Location 2,4,2,25,17579.812523968343000
179,Location 4 - Location 23,4,23,26,17824.869989238879000
180,Location 4 - Location 17,4,17,27,17881.857384283507000
181,Location 4 - Location 26,4,26,28,18981.897224126464000
182,Location 4 - Location 5,4,5,29,20302.203985913082000
183,Location 4 - Location 36,4,36,30,20358.537803849409000
184,Location 4 - Location 34,4,34,31,20415.128844464489000
185,Location 4 - Location 38,4,38,32,20544.118625995834000
186,Location 4 - Location 33,4,33,33,20766.310224220168000
187,Location 4 - Location 28,4,28,34,20787.120013243297000
188,Location 4 - Location 7,4,7,35,20907.495726007266000
189,Location 4 - Location 50,4,50,36,21100.175416680002000
190,Location 4 - Location 51,4,51,37,21200.511580644525000
191,Location 4 - Location 29,4,29,38,21370.232070886344000
192,Location 4 - Location 40,4,40,39,21537.268549513061000
193,Location 4 - Location 1,4,1,40,21754.535715324622000
194,Location 4 - Location 47,4,47,41,21949.290332543322000
195,Location 4 - Location 39,4,39,42,22583.375200163020000
196,Location 4 - Location 24,4,24,43,22659.944461081264000
197,Location 4 - Location 48,4,48,44,24810.517555007402000
198,Location 4 - Location 12,4,12,45,24959.840105342893000
199,Location 4 - Location 45,4,45,46,25065.869989029648000
200,Location 4 - Location 44,4,44,47,25614.352326249773000
201,Location 4 - Location 46,4,46,48,25932.637496018961000
202,Location 4 - Location 41,4,41,49,28925.591639175069000
203,Location 4 - Location 49,4,49,50,29135.741133589261000
204,Location 4 - Location 42,4,42,51,30324.140956924992000
205,Location 5 - Location 5,5,5,1,0.000000000000000
206,Location 5 - Location 28,5,28,2,631.934338403605240
